Country,iso3,Continent Code,Percent,Millions,Continent Name
Afghanistan,AFG,AS,22.2, 6.4,Asia
Albania,ALB,EU,6.7,0.2,Europe
Algeria,DZA,AF,5.6,2.0,Africa
Angola,AGO,AF,17.9,3.9,Africa
Argentina,ARG,SA,3.9,1.6,South America
Armenia,ARM,AS,5.7,0.2,Asia
Bangladesh,BGD,AS,16.9,26.0,Asia
Benin,BEN,AF,11.7,1.1,Africa
Bolivia (Plurinational State of),BOL,SA,24.6,2.5,South America
Botswana,BWA,AF,26.6,0.6,Africa
Bulgaria,BGR,EU,5.4,0.4,Europe
Burkina Faso,BFA,AF,20.7,3.3,Africa
Cambodia,KHM,AS,18.6,2.7,Asia
Cameroon,CMR,AF,10.2,2.2,Africa
Central African Republic,CAF,AF,35.6,1.6,Africa
Chad,TCD,AF,38.9,4.8,Africa
Chile,CHL,SA,4.1,0.7,South America
China,CHN,AS,11.3,156.0,Asia
Colombia,COL,SA,10.9,5.0,South America
Congo,COD,AF,29.2,1.2,Africa
Congo,COG,AF,29.2,1.2,Africa
Costa Rica,CRI,NA,5.2,0.2,North America
Ivory Coast,CIV,AF,16.0,3.3,Africa
Croatia,HRV,EU,2.6,0.1,Europe
North Korea,PRK,AS,41.9,10.3,Asia
Djibouti,DJI,AF,21.2,0.2,Africa
Dominican Republic,DOM,NA,14.6,1.5,North America
Ecuador,ECU,SA,11.7,1.8,South America
Egypt,EGY,AF,4.5,3.7,Africa
El Salvador,SLV,NA,12.9,0.8,North America
Ethiopia,ETH,AF,31.0,27.8,Africa
Gabon,GAB,AF,8.6,0.1,Africa
Gambia,GMB,AF,9.0,0.2,Africa
Georgia,GEO,AS,8.4,0.4,Asia
Ghana,GHA,AF,5.6,1.4,Africa
Guatemala,GTM,NA,15.6,2.4,North America
Guinea,GIN,AF,17.4,2.0,Africa
Guinea-Bissau,GNB,AF,22.7,0.4,Africa
Haiti,HTI,NA,49.6,5.0,North America
Honduras,HND,NA,15.5,1.2,North America
India,IND,AS,15.5,193.6,Asia
Indonesia,IDN,AS,10.1,24.8,Asia
Iran,IRN,AS,5.7,4.3,Asia
Iraq,IRQ,AS,26.3,8.4,Asia
Jamaica,JAM,NA,9.0,0.2,North America
Jordan,JOR,AS,3.6,0.2,Asia
Kazakhstan,KAZ,AS,2.7,0.4,Asia
Kenya,KEN,AF,22.6,9.4,Africa
Kyrgyzstan,KGZ,AS,7.7,0.4,Asia
Laos,LAO,AS,19.2,1.2,Asia
Lebanon,LBN,AS,4.5,0.2,Asia
Lesotho,LSO,AF,13.2,0.3,Africa
Liberia,LBR,AF,36.7,1.5,Africa
Madagascar,MDG,AF,31.9,6.9,Africa
Malawi,MWI,AF,21.3,3.2,Africa
Malaysia,MYS,AS,3.5,1.0,Asia
Mali,MLI,AF,6.8,1.1,Africa
Mauritania,MRT,AF,7.8,0.3,Africa
Mexico,MEX,NA,4.6,5.5,North America
Mongolia,MNG,AS,19.6,0.5,Asia
Morocco,MAR,AF,5.0,1.6,Africa
Mozambique,MOZ,AF,28.8,7.2,Africa
Myanmar,MMR,AS,15.5,8.1,Asia
Namibia,NAM,AF,36.3,0.8,Africa
Nepal,NPL,AS,9.3,2.5,Asia
Nicaragua,NIC,NA,20.0,1.2,North America
Niger,NER,AF,10.9,1.9,Africa
Nigeria,NGA,AF,6.4,10.5,Africa
Oman,OMN,AS,5.2,0.2,Asia
Pakistan,PAK,AS,21.0,36.5,Asia
Panama,PAN,NA,11.9,0.4,North America
Paraguay,PRY,SA,11.9,0.7,South America
Peru,PER,SA,10.1,3.0,South America
Philippines,PHL,AS,13.9,13.1,Asia
Moldova,MDA,EU,11.0,0.4,Europe
Rwanda,RWA,AF,33.3,3.5,Africa
Saudi Arabia,SAU,AS,6.3,1.8,Asia
Senegal,SEN,AF,12.8,1.7,Africa
Serbia,SRB,EU,6.0,0.5,Europe
Sierra Leone,SLE,AF,25.4,1.5,Africa
Slovakia,SVK,EU,4.1,0.2,Europe
South Africa,ZAF,AF,3.7,1.9,Africa
Sri Lanka,LKA,AS,25.1,5.1,Asia
Swaziland,SWZ,AF,23.1,0.3,Africa
Tajikistan,TJK,AS,36.8,2.9,Asia
Thailand,THA,AS,8.8,5.9,Asia
East Timor,TLS,AS,29.8,0.3,Asia
Togo,TGO,AF,19.8,1.3,Africa
Trinidad and Tobago,TTO,NA,8.6,0.1,North America
Tunisia,TUN,AF,4.6,0.5,Africa
Turkmenistan,TKM,AS,5.1,0.3,Asia
Uganda,UGA,AF,31.8,10.9,Africa
United Arab Emirates,ARE,AS,5.6,0.5,Asia
Tanzania,TZA,AF,33.6,15.8,Africa
Uzbekistan,UZB,AS,7.9,2.2,Asia
Venezuela,VEN,SA,3.7,1.1,South America
Vietnam,VNM,AS,13.0,11.6,Asia
Yemen,YEM,AS,25.0,6.1,Asia
Zambia,ZMB,AF,48.7,7.0,Africa
Zimbabwe,ZWE,AF,32.7,4.7,Africa
