Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,4.9,0.1,Europe
Algeria,DZA,AF,4.6,1.8,Africa
Angola,AGO,AF,14.0,3.5,Africa
Argentina,ARG,SA,3.6,1.6,South America
Armenia,ARM,AS,4.4,0.1,Asia
Bangladesh,BGD,AS,15.1,24.4,Asia
Benin,BEN,AF,10.3,1.1,Africa
Bolivia (Plurinational State of),BOL,SA,20.2,2.2,South America
Botswana,BWA,AF,26.0,0.6,Africa
Bulgaria,BGR,EU,3.4,0.2,Europe
Burkina Faso,BFA,AF,20.2,3.7,Africa
Cambodia,KHM,AS,15.3,2.4,Asia
Cameroon,CMR,AF,7.9,1.9,Africa
Central African Republic,CAF,AF,58.6,2.9,Africa
Chad,TCD,AF,32.5,4.6,Africa
Chile,CHL,SA,3.7,0.7,South America
China,CHN,AS,9.6,134.7,Asia
Colombia,COL,SA,7.1,3.4,South America
Congo,COD,AF,28.2,1.3,Africa
Congo,COG,AF,28.2,1.3,Africa
Costa Rica,CRI,NA,5.6,0.3,North America
Ivory Coast,CIV,AF,15.4,3.5,Africa
North Korea,PRK,AS,40.8,10.3,Asia
Djibouti,DJI,AF,12.8,0.1,Africa
Dominican Republic,DOM,NA,13.5,1.4,North America
Ecuador,ECU,SA,12.1,1.9,South America
Egypt,EGY,AF,4.5,4.1,Africa
El Salvador,SLV,NA,12.3,0.8,North America
Ethiopia,ETH,AF,28.8,28.6,Africa
Gabon,GAB,AF,7.0,0.1,Africa
Gambia,GMB,AF,10.9,0.2,Africa
Georgia,GEO,AS,7.0,0.3,Asia
Ghana,GHA,AF,7.6,2.1,Africa
Guatemala,GTM,NA,15.6,2.5,North America
Guinea,GIN,AF,17.5,2.2,Africa
Guinea-Bissau,GNB,AF,28.3,0.5,Africa
Haiti,HTI,NA,46.8,5.0,North America
Honduras,HND,NA,14.8,1.2,North America
India,IND,AS,14.5,190.7,Asia
Indonesia,IDN,AS,7.9,20.3,Asia
Iran,IRN,AS,5.5,4.3,Asia
Iraq,IRQ,AS,27.8,10.1,Asia
Jamaica,JAM,NA,8.4,0.2,North America
Jordan,JOR,AS,4.2,0.3,Asia
Kenya,KEN,AF,19.1,8.8,Africa
Kyrgyzstan,KGZ,AS,6.4,0.4,Asia
Laos,LAO,AS,17.1,1.2,Asia
Lebanon,LBN,AS,5.4,0.3,Asia
Lesotho,LSO,AF,14.5,0.3,Africa
Liberia,LBR,AF,42.8,1.9,Africa
Madagascar,MDG,AF,42.3,10.3,Africa
Malawi,MWI,AF,25.9,4.5,Africa
Mali,MLI,AF,4.0,0.7,Africa
Mauritania,MRT,AF,5.3,0.2,Africa
Mexico,MEX,NA,4.2,5.4,North America
Mongolia,MNG,AS,19.6,0.6,Asia
Morocco,MAR,AF,3.5,1.2,Africa
Mozambique,MOZ,AF,26.6,7.4,Africa
Myanmar,MMR,AS,16.9,9.1,Asia
Namibia,NAM,AF,28.8,0.7,Africa
Nepal,NPL,AS,8.1,2.3,Asia
Nicaragua,NIC,NA,17.0,1.0,North America
Niger,NER,AF,11.3,2.2,Africa
Nigeria,NGA,AF,7.9,14.3,Africa
Oman,OMN,AS,6.2,0.3,Asia
Pakistan,PAK,AS,19.9,37.6,Asia
Panama,PAN,NA,9.3,0.4,North America
Paraguay,PRY,SA,12.0,0.8,South America
Peru,PER,SA,7.9,2.5,South America
Philippines,PHL,AS,13.8,13.9,Asia
Moldova,MDA,EU,8.5,0.3,Europe
Rwanda,RWA,AF,41.1,4.8,Africa
Saudi Arabia,SAU,AS,4.4,1.4,Asia
Senegal,SEN,AF,11.3,1.7,Africa
Serbia,SRB,EU,5.6,0.5,Europe
Sierra Leone,SLE,AF,30.9,2.0,Africa
Slovakia,SVK,EU,3.1,0.2,Europe
South Africa,ZAF,AF,4.6,2.5,Africa
Sri Lanka,LKA,AS,22.1,4.6,Asia
Sudan,SDN,AF,25.6,10.3,Africa
Swaziland,SWZ,AF,19.6,0.3,Africa
Tajikistan,TJK,AS,30.1,2.6,Asia
Thailand,THA,AS,9.5,6.5,Asia
East Timor,TLS,AS,26.9,0.3,Asia
Togo,TGO,AF,11.5,0.8,Africa
Tunisia,TUN,AF,5.0,0.6,Africa
Turkmenistan,TKM,AS,5.5,0.3,Asia
Uganda,UGA,AF,39.0,15.2,Africa
United Arab Emirates,ARE,AS,3.8,0.3,Asia
Tanzania,TZA,AF,32.3,17.3,Africa
Uzbekistan,UZB,AS,6.3,1.9,Asia
Venezuela,VEN,SA,13.0,4.1,South America
Vietnam,VNM,AS,10.7,10.0,Asia
Yemen,YEM,AS,28.8,7.7,Asia
Zambia,ZMB,AF,45.9,7.4,Africa
Zimbabwe,ZWE,AF,44.7,7.0,Africa
