Country,Country Code,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,10.5,0.3,Europe
Algeria,DZA,AF,8.0,2.7,Africa
Angola,AGO,AF,26.5,5.1,Africa
Argentina,ARG,SA,4.2,1.7,South America
Armenia,ARM,AS,5.5,0.2,Asia
Azerbaijan,AZE,AS,2.9,0.3,Asia
Bangladesh,BGD,AS,16.3,23.9,Asia
Benin,BEN,AF,13.4,1.2,Africa
Bolivia (Plurinational State of),BOL,SA,28.0,2.6,South America
Bosnia and Herzegovina,BIH,EU,3.0,0.1,Europe
Botswana,BWA,AF,32.5,0.6,Africa
Brazil,BRA,SA,3.1,6.1,South America
Bulgaria,BGR,EU,6.2,0.5,Europe
Burkina Faso,BFA,AF,23.5,3.4,Africa
Cambodia,KHM,AS,18.8,2.6,Asia
Cameroon,CMR,AF,16.3,3.1,Africa
Central African Republic,CAF,AF,36.4,1.5,Africa
Chad,TCD,AF,40.3,4.3,Africa
Chile,CHL,SA,4.0,0.7,South America
China,CHN,AS,14.2,192.2,Asia
Colombia,COL,SA,9.3,4.1,South America
Congo,COD,AF,34.0,1.3,Africa
Congo,COG,AF,34.0,1.3,Africa
Costa Rica,CRI,NA,5.0,0.2,North America
Ivory Coast,CIV,AF,16.0,3.0,Africa
North Korea,PRK,AS,39.3,9.5,Asia
Djibouti,DJI,AF,25.8,0.2,Africa
Dominican Republic,DOM,NA,20.9,2.0,North America
Ecuador,ECU,SA,15.6,2.2,South America
Egypt,EGY,AF,4.8,3.7,Africa
El Salvador,SLV,NA,11.2,0.7,North America
Ethiopia,ETH,AF,37.2,30.1,Africa
Gabon,GAB,AF,10.0,0.1,Africa
Gambia,GMB,AF,12.9,0.2,Africa
Georgia,GEO,AS,7.0,0.3,Asia
Ghana,GHA,AF,7.4,1.7,Africa
Guatemala,GTM,NA,15.8,2.2,North America
Guinea,GIN,AF,19.3,2.0,Africa
Guinea-Bissau,GNB,AF,24.2,0.4,Africa
Haiti,HTI,NA,54.5,5.2,North America
Honduras,HND,NA,16.0,1.1,North America
India,IND,AS,17.4,205.4,Asia
Indonesia,IDN,AS,17.9,41.6,Asia
Iran,IRN,AS,6.5,4.7,Asia
Iraq,IRQ,AS,30.0,8.5,Asia
Jamaica,JAM,NA,7.7,0.2,North America
Jordan,JOR,AS,3.6,0.2,Asia
Kazakhstan,KAZ,AS,4.3,0.7,Asia
Kenya,KEN,AF,25.9,9.6,Africa
Kyrgyzstan,KGZ,AS,10.2,0.5,Asia
Laos,LAO,AS,24.5,1.5,Asia
Lebanon,LBN,AS,3.8,0.2,Asia
Lesotho,LSO,AF,12.0,0.2,Africa
Liberia,LBR,AF,38.2,1.3,Africa
Madagascar,MDG,AF,32.5,6.3,Africa
Malawi,MWI,AF,23.2,3.1,Africa
Malaysia,MYS,AS,4.2,1.1,Asia
Mali,MLI,AF,8.8,1.2,Africa
Mauritania,MRT,AF,10.3,0.3,Africa
Mexico,MEX,NA,4.7,5.3,North America
Mongolia,MNG,AS,26.5,0.7,Asia
Morocco,MAR,AF,5.6,1.7,Africa
Mozambique,MOZ,AF,35.0,7.8,Africa
Myanmar,MMR,AS,25.0,12.7,Asia
Namibia,NAM,AF,29.7,0.6,Africa
Nepal,NPL,AS,13.9,3.6,Asia
Nicaragua,NIC,NA,22.6,1.2,North America
Niger,NER,AF,13.6,2.0,Africa
Nigeria,NGA,AF,6.0,8.9,Africa
Oman,OMN,AS,7.9,0.2,Asia
Pakistan,PAK,AS,21.7,34.7,Asia
Panama,PAN,NA,18.5,0.6,North America
Paraguay,PRY,SA,12.6,0.8,South America
Peru,PER,SA,15.7,4.5,South America
Philippines,PHL,AS,14.1,12.6,Asia
Moldova,MDA,EU,21.4,0.9,Europe
Rwanda,RWA,AF,41.2,3.9,Africa
Saudi Arabia,SAU,AS,7.8,2.0,Asia
Senegal,SEN,AF,16.6,2.0,Africa
Serbia,SRB,EU,6.0,0.5,Europe
Sierra Leone,SLE,AF,32.3,1.7,Africa
Slovakia,SVK,EU,5.9,0.3,Europe
South Africa,ZAF,AF,4.5,2.2,Africa
Sri Lanka,LKA,AS,28.0,5.6,Asia
Swaziland,SWZ,AF,21.5,0.2,Africa
Tajikistan,TJK,AS,39.2,2.8,Asia
Thailand,THA,AS,10.3,6.8,Asia
East Timor,TLS,AS,32.9,0.3,Asia
Togo,TGO,AF,23.6,1.4,Africa
Trinidad and Tobago,TTO,NA,10.7,0.1,North America
Tunisia,TUN,AF,5.4,0.6,Africa
Turkmenistan,TKM,AS,4.5,0.2,Asia
Uganda,UGA,AF,28.3,8.5,Africa
United Arab Emirates,ARE,AS,5.7,0.3,Asia
Tanzania,TZA,AF,33.3,13.8,Africa
Uruguay,URY,SA,3.5,0.1,South America
Uzbekistan,UZB,AS,11.0,2.9,Asia
Venezuela,VEN,SA,6.0,1.7,South America
Vietnam,VNM,AS,16.7,14.3,Asia
Yemen,YEM,AS,27.7,6.0,Asia
Zambia,ZMB,AF,53.6,6.8,Africa
Zimbabwe,ZWE,AF,37.2,4.9,Africa
