Country,Country Code,Continent Code,Continent Name,p2000,m2000,p2001,m2001,p2002,m2002,p2003,m2003,p2004,m2004,p2005,m2005,p2006,m2006,p2007,m2007,p2008,m2008,p2009,m2009,p2010,m2010,p2011,m2011,p2012,m2012,p2013,m2013,p2014,m2014,p2015,m2015
Albania,ALB,EU,Europe,7.2,0.2,7.8,0.2,8.7,0.3,9.7,0.3,10.7,0.3,11.1,0.3,11,0.3,10.5,0.3,9.7,0.3,8.7,0.3,7.6,0.2,6.7,0.2,6,0.2,5.5,0.2,5.1,0.1,4.9,0.1
Algeria,DZA,AF,Africa,10.7,3.3,10.2,3.2,9.7,3.1,9.3,3,9,3,8.8,2.9,8.4,2.8,8,2.7,7.5,2.6,7,2.5,6.3,2.3,5.6,2,5,1.9,4.7,1.8,4.6,1.8,4.6,1.8
Angola,AGO,AF,Africa,50,7.5,46.7,7.3,42.7,6.9,38.6,6.4,35,6.1,32.1,5.8,29.3,5.4,26.5,5.1,23.7,4.7,21.3,4.4,19.4,4.1,17.9,3.9,16.7,3.8,15.3,3.6,14.4,3.5,14,3.5
Argentina,ARG,SA,South America,3.5,1.3,4.1,1.5,4.9,1.9,5.3,2,5.2,2,4.7,1.9,4.4,1.7,4.2,1.7,4.1,1.7,4.1,1.7,4,1.7,3.9,1.6,3.7,1.6,3.6,1.5,3.4,1.5,3.6,1.6
Armenia,ARM,AS,Asia,23.8,0.7,23.6,0.7,20.8,0.6,15.7,0.5,11.1,0.3,8,0.2,6.3,0.2,5.5,0.2,5.2,0.2,5.5,0.2,5.8,0.2,5.7,0.2,5.2,0.2,4.6,0.1,4.2,0.1,4.4,0.1
Azerbaijan,AZE,AS,Asia,23.2,1.9,18.8,1.5,15,1.2,11.6,1,8.4,0.7,5.7,0.5,3.8,0.3,2.9,0.3,2.6,0.2,2.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,AS,Asia,20.8,27.2,18.7,25.1,18.2,24.8,17.5,24.3,17.1,24,16.6,23.7,16.3,23.6,16.3,23.9,16.4,24.3,16.6,24.9,16.9,25.6,16.9,26,16.8,26.1,16.4,25.8,16,25.4,15.1,24.4
Belarus,BLR,EU,Europe,0,0,0,0,3.2,0.3,3.7,0.4,3.6,0.3,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,AF,Africa,22.6,1.6,20.5,1.5,18.6,1.4,17.3,1.3,16.3,1.3,15.4,1.3,14.4,1.2,13.4,1.2,12.8,1.2,12.4,1.1,12.1,1.2,11.7,1.1,11.3,1.1,10.8,1.1,10,1.1,10.3,1.1
Bolivia (Plurinational State of),BOL,SA,South America,33.4,2.8,31.6,2.7,31.2,2.7,31.4,2.8,31.4,2.8,30.3,2.8,28.7,2.7,28,2.6,28.1,2.7,28,2.7,26.5,2.6,24.6,2.5,23.1,2.4,21.9,2.3,20.8,2.2,20.2,2.2
Bosnia and Herzegovina,BIH,EU,Europe,4.7,0.2,5,0.2,4.8,0.2,4.4,0.2,3.7,0.1,3.4,0.1,3.1,0.1,3,0.1,2.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,AF,Africa,35.6,0.6,35,0.6,34.7,0.6,33.5,0.6,32.5,0.6,32,0.6,32.3,0.6,32.5,0.6,31.9,0.6,30.5,0.6,28.6,0.6,26.6,0.6,25.1,0.5,24.6,0.5,24.6,0.5,26,0.6
Brazil,BRA,SA,South America,12,21.1,10.6,18.9,8.7,15.8,6.9,12.6,5.5,10.2,4.5,8.6,3.8,7.3,3.1,6.1,2.6,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
